_id,name,description,price,category,image,company,size
6964c858ed7c819c202a7c6e,Freeze Dried Mango,"Savor the rich, juicy sweetness of premium, farm-fresh mangoes?handpicked and delivered to your door for the ultimate summer delight",140,Freeze Dried,/images/Products/poshi-1/mango.webp,Poshi,
6964c858ed7c819c202a7c6f,Freeze Dried Jamun,"A juicy, tangy-sweet fruit rich in antioxidants and nutrients, Jamun boosts digestion, controls blood sugar.",140,Freeze Dried,/images/Products/poshi-1/jamun.webp,Poshi,
6964c858ed7c819c202a7c70,Freeze Dried Strawberries,"Sweet, slightly tart, and juicy Perfect for smoothies, baking, or as a refreshing snack straight from the freezer.",180,Freeze Dried,/images/Products/poshi-1/strobery.webp,Poshi,
6964c858ed7c819c202a7c71,Freeze Dried chickoo,"Perfect for milkshakes, smoothies, Indian-style desserts (like chikoo halwa or ice cream), or eaten directly as a frozen treat.",90,Freeze Dried,/images/Products/poshi-1/sapota.webp,Poshi,
6964c858ed7c819c202a7c72,Freeze Dried Apple,"Juicy, sweet, and packed with fiber?our apples are freshly picked, perfect for snacking, salads, or juicing.",180,Freeze Dried,/images/Products/poshi-1/apple.webp,Poshi,
6964c858ed7c819c202a7c73,Freeze Dried Guava,"Frozen guava offers a sweet, tropical flavor, perfect for smoothies, desserts, or refreshing snacks.",180,Freeze Dried,/images/Products/poshi-1/gauvava.webp,Poshi,
6964c858ed7c819c202a7c74,Freeze Dried Kiwi,"Fresh-picked kiwi, freeze-dried for your delight?a tropical taste adventure in every chilly slice.",140,Freeze Dried,/images/Products/poshi-1/kiwi.webp,Poshi,
6964c858ed7c819c202a7c75,Freeze Dried Jackfruit,"Tropical taste preserved ? enjoy jackfruit?s sweetness, texture, and nutrition anytime, straight from the freezer.",140,Freeze Dried,/images/Products/poshi-1/jackfruite.webp,Poshi,
6964c858ed7c819c202a7c76,Vacuum cooked veggie chips,"Crispy vacuum-cooked vegetable chips made from fresh produce, retaining natural color, flavor, and nutrients. Lightly seasoned, less oily, and a healthier alternative to regular fried snacks.",200,Namkeen,/images/Products/MWH/cooked-chips - Copy.webp,MWH,100 GM
6964c858ed7c819c202a7c77,Roasted Mexican mix,"A bold and crunchy roasted mix inspired by Mexican flavors, combining nuts, seeds, and spices. Perfectly roasted for a spicy, tangy snack with a satisfying crunch.",140,Namkeen,/images/Products/MWH/rosted-mix - Copy.webp,MWH,100 GM
6964c858ed7c819c202a7c78,Premium Roasted mix ,"Carefully selected nuts and seeds slow roasted to perfection. This premium mix delivers rich flavor, crunch, and nutrition, making it an ideal guilt-free everyday snacking option.",180,Namkeen,/images/Products/MWH/cocoa - Copy.webp,MWH,One Pisce
6964c858ed7c819c202a7c79,Premium praline nutty Brittles,"Delicate, super-thin brittles made with premium nuts coated in caramelized sweetness. Perfectly crunchy, rich, and indulgent, offering a balanced blend of nutty flavor and crisp texture",45,Namkeen,/images/Products/MWH/top-view-delicious-breakfast-concept - Copy.webp,MWH,One Pisce
6964c858ed7c819c202a7c7a,Assorted dry fruit nutty Bites - Blueberry,"Wholesome bite-sized treats made from premium dry fruits and nuts with no added sugar. Naturally sweet, nutritious, and perfect for clean snacking and mindful indulgence.",45,Namkeen,/images/Products/MWH/blueberry - Copy.webp,MWH,One Pisce
6964c858ed7c819c202a7c7b,Assorted dry fruit nutty Bites - Rose,"Wholesome bite-sized treats made from premium dry fruits and nuts with no added sugar. Naturally sweet, nutritious, and perfect for clean snacking and mindful indulgence.",45,Namkeen,/images/Products/MWH/gulkand - Copy.webp,MWH,One Pisce
6964c858ed7c819c202a7c7c,Assorted dry fruit nutty Bites - Gulkand,"Wholesome bite-sized treats made from premium dry fruits and nuts with no added sugar. Naturally sweet, nutritious, and perfect for clean snacking and mindful indulgence.",45,Namkeen,/images/Products/MWH/gulkand - Copy.webp,MWH,One Pisce
6964c858ed7c819c202a7c7d,Assorted dry fruit nutty Bites - Orange,"Wholesome bite-sized treats made from premium dry fruits and nuts with no added sugar. Naturally sweet, nutritious, and perfect for clean snacking and mindful indulgence.",45,Namkeen,/images/Products/MWH/cookie - Copy.webp,MWH,One Pisce
6964c858ed7c819c202a7c7e,Assorted dry fruit nutty Bites - Peel,"Wholesome bite-sized treats made from premium dry fruits and nuts with no added sugar. Naturally sweet, nutritious, and perfect for clean snacking and mindful indulgence.",45,Namkeen,/images/Products/MWH/- Copy.webp,MWH,One Pisce
6964c858ed7c819c202a7c7f,Assorted dry fruit nutty Bites - Date,"Wholesome bite-sized treats made from premium dry fruits and nuts with no added sugar. Naturally sweet, nutritious, and perfect for clean snacking and mindful indulgence.",45,Namkeen,/images/Products/MWH/top-view-delicious-breakfast-concept - Copy.webp,MWH,One Pisce
6964c858ed7c819c202a7c80,Assorted dry fruit nutty Bites - Anjeer ,"Wholesome bite-sized treats made from premium dry fruits and nuts with no added sugar. Naturally sweet, nutritious, and perfect for clean snacking and mindful indulgence.",45,Namkeen,/images/Products/MWH/anjeer-cookie - Copy.webp,MWH,One Pisce
6964c858ed7c819c202a7c81,Honeycomb Brownie nutty Bites,"Soft brownie-inspired nutty bites blended with honeycomb crunch and premium nuts. A delightful balance of rich cocoa flavor, crunch, and natural sweetness in every bite.",45,Namkeen,/images/Products/MWH/cookie - Copy.webp,MWH,One Pisce
